Item_Identifier,Item_Weight,Outlet_Size
FDH20,16.1,Small
FDT38,18.7,Medium
NCI17,8.645,Medium
FDO40,17.1,Medium
FDP12,9.8,Small
FDI44,12.6,Medium
FDB21,12.6,Medium
FDG16,15.25,High
NCZ42,10.5,Medium
NCJ30,5.82,Medium
FDV49,10.0,Small
NCO43,5.5,Medium
NCF18,18.35,Medium
NCX41,19.0,Medium
FDY11,6.71,High
FDU46,10.3,Medium
NCI18,18.35,Medium
FDL38,13.8,Small
FDY60,10.5,Medium
FDF53,20.75,Medium
NCM05,12.6,Medium
FDR13,9.895,Medium
FDA49,12.6,Small
FDY52,12.6,Small
FDL02,12.6,Small
FDO24,11.1,High
FDM08,10.1,Small
FDJ02,12.6,Small
FDW40,14.0,Medium
FDT46,12.6,Medium
FDY08,9.395,Medium
FDM21,12.6,Medium
FDH26,12.6,Medium
NCM42,6.13,Medium
FDW13,8.5,Small
FDN04,12.6,Medium
NCD07,9.1,Small
FDB34,15.25,Medium
FDD09,13.5,High
DRH59,10.8,Medium
DRN36,15.2,Small
DRA24,19.35,Medium
FDY36,12.6,Medium
FDG34,11.5,High
FDK43,9.8,Medium
NCM06,7.475,Medium
FDK22,9.8,Medium
FDF21,12.6,Medium
FDO33,14.75,Medium
NCO43,5.5,Medium
FDX15,17.2,Small
FDS10,19.2,Small
FDD46,12.6,Small
FDV22,14.85,Medium
NCR29,7.565,Medium
FDU34,18.25,Medium
FDZ35,9.6,Medium
FDA26,7.855,Small
FDP38,10.1,Medium
FDT22,10.395,Small
FDA50,16.25,Medium
FDY10,17.6,Small
FDC09,15.5,Medium
FDT19,7.59,Medium
FDO34,12.6,Medium
NCV54,11.1,Medium
FDH57,12.6,Medium
FDA28,16.1,Small
FDB05,5.155,Small
FDK45,12.6,Small
DRH01,12.6,Small
FDY52,6.365,Small
FDR48,11.65,Small
FDY15,18.25,Small
FDM51,11.8,Medium
FDR43,18.2,Small
FDW09,13.65,High
FDV44,8.365,Medium
DRH37,12.6,Small
FDZ47,20.7,Medium
NCP43,17.75,Small
FDL26,18.0,Medium
DRM35,9.695,Medium
FDM39,6.42,Medium
DRD15,10.6,Medium
NCK06,5.03,Medium
FDV04,7.825,Medium
FDG46,12.6,Medium
FDO19,17.7,Medium
NCN05,8.235,Medium
DRA12,11.6,Medium
FDJ02,17.2,Medium
NCK17,11.0,Medium
FDO58,19.6,High
FDB22,8.02,Medium
FDG33,5.365,Medium
FDK58,11.35,Medium
DRH49,12.6,Small
FDT43,16.35,Small
NCR38,17.25,Medium
DRI39,13.8,Small
NCZ05,8.485,Small
FDU21,11.8,High
NCP54,15.35,Medium
NCX29,10.0,Medium
FDV01,19.2,Medium
NCS17,18.6,Medium
NCN07,18.5,High
FDB14,20.25,Small
NCJ18,12.35,Small
FDF57,14.5,Small
DRG01,14.8,High
FDA02,14.0,Medium
DRJ37,10.8,Medium
NCP55,14.65,High
FDW45,12.6,Medium
FDK38,6.65,Medium
NCZ30,6.59,Medium
FDK08,12.6,Small
DRY23,9.395,Small
FDT31,19.75,Small
FDU52,7.56,Medium
NCG19,20.25,High
NCR30,20.6,Medium
FDN23,6.575,Medium
FDQ01,19.7,Medium
FDO22,13.5,Medium
DRE13,6.28,Medium
FDL44,18.25,Small
FDT34,9.3,Small
DRM23,16.6,Small
FDF32,16.35,Medium
NCE18,10.0,Medium
FDA51,12.6,Medium
DRZ24,7.535,Medium
FDT48,4.92,Medium
DRG11,6.385,Small
FDE58,18.5,Medium
DRA12,11.6,High
FDP60,17.35,Medium
FDT10,16.7,Medium
FDE05,10.895,High
FDC32,18.35,Medium
FDJ22,18.75,Medium
NCH18,9.3,Medium
DRE37,12.6,Small
DRC13,8.26,Small
FDG47,12.8,Small
FDY55,16.75,Medium
NCW29,12.6,Medium
NCT05,10.895,Medium
FDN50,16.85,Medium
FDU60,20.0,Medium
FDX02,16.0,High
FDL34,16.0,Medium
DRF27,8.93,Medium
FDZ35,9.6,Medium
DRF03,12.6,Medium
NCO41,12.6,Medium
FDQ59,9.8,Medium
NCZ53,9.6,Medium
FDZ33,12.6,Small
FDD34,7.945,Medium
NCM06,7.475,Medium
FDY43,14.85,Medium
DRM23,16.6,Medium
FDT20,10.5,Medium
FDG46,8.63,High
FDH10,21.0,Medium
FDF24,15.5,Small
FDG57,14.7,Small
FDN44,13.15,Medium
FDD32,17.7,High
FDI04,12.6,Small
FDA56,9.21,Small
DRG51,12.1,Medium
FDZ04,9.31,Medium
FDT13,14.85,Small
FDY56,12.6,Medium
FDB51,6.92,Medium
NCY29,13.65,High
FDL34,16.0,Medium
NCQ38,16.35,Medium
NCR41,12.6,Medium
FDY24,4.88,Medium
NCA42,6.965,Medium
FDB11,16.0,Medium
FDG26,18.85,Small
FDH24,20.7,Small
FDX44,9.3,High
FDT52,9.695,Medium
FDT04,17.25,Medium
FDO58,19.6,Small
FDR60,14.3,Small
NCL54,12.6,Medium
FDW50,13.1,High
FDK43,12.6,Small
FDQ32,17.85,Medium
FDE29,8.905,Small
NCN07,18.5,Medium
FDB37,20.25,High
FDD21,10.3,Medium
FDX16,17.85,High
FDN46,7.21,Medium
FDV28,16.1,Medium
FDR48,12.6,Medium
FDW37,12.6,Medium
FDV40,17.35,Small
FDZ57,10.0,Medium
FDY46,18.6,Medium
FDX45,16.75,Medium
FDB33,17.75,Small
FDT58,9.0,Medium
FDM39,6.42,Medium
NCY41,16.75,Medium
NCL31,7.39,Small
NCJ31,19.2,Small
FDO23,12.6,Small
FDN56,5.46,Small
FDF04,17.5,High
FDJ44,12.3,High
FDS50,17.0,Medium
NCQ41,12.6,Medium
FDA49,19.7,Small
NCZ06,19.6,Medium
NCM43,14.5,Medium
FDH19,19.35,High
FDS15,9.195,Medium
FDO50,16.25,Medium
FDJ20,20.7,Medium
NCI31,20.0,Medium
FDU20,12.6,Medium
DRK13,11.8,Small
DRJ24,11.8,Medium
FDI20,19.1,Medium
FDF10,15.5,Medium
FDQ45,9.5,Small
FDQ10,12.85,Small
FDM36,11.65,Small
FDN12,15.6,Medium
FDD50,18.85,High
FDG17,6.865,Medium
FDY58,11.65,Medium
NCK29,12.6,Small
FDM32,20.5,Medium
FDL46,20.35,Small
FDC51,10.895,Medium
FDF16,7.3,Medium
NCV54,11.1,High
FDE35,7.06,Medium
FDA23,9.8,Small
FDI46,9.5,Medium
FDZ21,17.6,High
DRK13,11.8,Medium
FDX36,9.695,Medium
FDY22,16.5,Medium
FDR32,12.6,Medium
DRF25,9.0,Small
FDK20,12.6,Small
DRI11,12.6,Small
FDH05,14.35,Medium
FDA46,13.6,Medium
DRD24,13.85,Small
FDL39,16.1,Medium
FDD52,18.25,Medium
FDR55,12.15,Medium
DRI13,15.35,Medium
FDG31,12.6,Medium
FDP04,15.35,Medium
FDH35,18.25,High
NCB42,11.8,Small
FDQ14,9.27,Medium
FDI19,12.6,Medium
FDJ55,12.8,Medium
DRN59,15.0,Medium
NCR06,12.5,High
NCF42,17.35,High
FDG24,7.975,Medium
FDB58,10.5,Medium
FDQ56,12.6,Medium
NCV41,14.35,Small
FDW19,12.35,Medium
FDO56,10.195,Medium
FDI41,18.5,Medium
FDN10,11.5,Medium
FDY20,12.5,Medium
DRM37,12.6,Medium
FDV34,10.695,Medium
NCX18,14.15,Small
FDY10,17.6,Medium
NCZ17,12.6,Medium
FDT12,6.215,High
FDD57,18.1,Small
FDK45,11.65,Medium
FDJ57,7.42,Medium
NCI31,20.0,Medium
FDZ48,17.75,Medium
FDI16,14.0,Small
FDZ31,15.35,Medium
DRG15,6.13,Medium
FDX36,9.695,Medium
FDD40,20.25,Small
FDA04,12.6,Medium
FDL21,15.85,High
FDS21,19.85,High
DRF23,4.61,Medium
FDM46,7.365,Small
DRG49,12.6,Medium
FDG26,18.85,Medium
FDR51,12.6,Medium
FDV39,11.3,Small
FDC39,7.405,Medium
FDP45,15.7,Medium
FDC56,7.72,Small
FDK38,6.65,Medium
NCJ29,10.6,High
NCF19,12.6,Small
FDG59,15.85,Small
FDE59,12.15,Medium
FDB04,11.35,Medium
NCK05,20.1,High
FDR03,15.7,Medium
FDQ03,12.6,Small
FDC59,16.7,Medium
DRB13,6.115,Medium
NCE54,20.7,Medium
FDC10,9.8,Small
FDR46,12.6,Small
FDA10,20.35,Small
FDP23,12.6,Medium
FDJ41,6.85,High
FDL46,20.35,High
FDX33,9.195,Small
NCL29,9.695,Medium
FDE16,12.6,Small
FDM57,11.65,Small
FDZ36,6.035,High
NCW42,18.2,Medium
NCI54,12.6,Small
DRK01,7.63,Medium
FDX10,6.385,Medium
FDO46,9.6,Medium
FDD16,20.5,Medium
FDZ20,12.6,Medium
NCI18,18.35,Medium
DRI25,19.6,Small
FDY44,14.15,Medium
FDW38,12.6,Small
FDY33,12.6,Medium
DRH51,17.6,Small
FDT32,19.0,Medium
FDI50,8.42,Medium
FDB60,9.3,High
FDP09,19.75,Small
FDA20,6.78,High
NCX05,12.6,Small
DRF37,17.25,Medium
FDJ26,15.3,Small
FDZ25,15.7,Small
FDZ58,17.85,Small
FDZ50,12.6,Medium
NCG18,15.3,Medium
FDZ56,16.25,Medium
FDH50,15.0,High
DRO35,13.85,Medium
DRH51,12.6,Medium
FDS19,13.8,Medium
NCM06,7.475,Medium
FDP52,18.7,Medium
FDK02,12.5,Medium
FDG59,15.85,Small
FDN20,12.6,Medium
FDO57,20.75,Medium
NCJ30,5.82,Small
FDQ31,5.785,Medium
FDC05,13.1,Medium
FDM08,10.1,High
NCA41,16.75,Small
FDK15,12.6,Medium
FDX56,17.1,Medium
FDT21,7.42,Small
FDQ46,7.51,Small
FDS01,12.6,Small
FDW34,12.6,Small
FDX07,19.2,Small
FDN13,18.6,Small
NCP02,7.105,Medium
FDT48,4.92,Medium
FDZ49,11.0,Small
NCJ17,7.68,Medium
FDB17,13.15,Medium
FDP48,7.52,Medium
FDI53,8.895,Medium
FDW02,4.805,High
FDL20,12.6,Small
FDV32,7.785,Medium
FDG38,8.975,Medium
NCB31,12.6,Medium
FDF52,9.3,Medium
FDB15,10.895,Medium
FDO48,15.0,Medium
NCR53,12.15,Medium
FDF56,16.7,High
FDL57,15.1,Medium
NCC31,8.02,High
FDE33,19.35,Medium
FDV52,20.7,Medium
FDR46,12.6,Medium
DRE12,4.59,Small
FDD57,18.1,Medium
NCS41,12.85,Medium
NCY41,16.75,Medium
FDV22,14.85,Medium
FDF12,8.235,Medium
FDM13,6.425,High
FDQ56,6.59,Small
FDW55,12.6,Medium
NCT29,12.6,Medium
NCX42,6.36,Medium
FDR24,17.35,Medium
NCS42,8.6,Medium
FDL40,17.7,Medium
FDD47,7.6,Small
DRE03,19.6,Small
NCM18,12.6,Medium
FDF52,9.3,Medium
NCG43,20.2,Medium
FDE20,11.35,Small
FDI33,16.5,Medium
NCT06,17.1,High
FDY24,4.88,Small
FDZ33,10.195,Medium
FDJ55,12.8,Medium
FDE45,12.6,Small
FDD44,8.05,Medium
FDD10,20.6,Medium
FDA39,6.32,Medium
FDB36,5.465,High
FDK52,18.25,Medium
FDJ36,14.5,Medium
NCB55,15.7,Medium
NCK18,9.6,Medium
FDX27,20.7,Medium
FDB08,6.055,Small
FDX43,5.655,Small
FDA20,6.78,Medium
FDC04,12.6,Small
FDG17,6.865,Medium
FDU58,6.61,Medium
FDP24,12.6,Medium
NCT29,12.6,Medium
FDB08,6.055,Medium
NCB43,20.2,Medium
FDL09,12.6,Small
DRK49,14.15,Small
FDR37,16.5,High
FDG56,13.3,Small
FDE34,9.195,Medium
FDE16,12.6,Medium
FDT58,9.0,Small
FDR03,15.7,Small
NCL30,18.1,Medium
FDT22,12.6,Medium
FDP45,15.7,Medium
FDS15,9.195,High
FDF16,12.6,Medium
FDL13,13.85,Medium
NCV30,20.2,Medium
FDG33,12.6,Small
FDO10,13.65,Small
FDQ03,15.0,High
NCC55,10.695,Medium
FDD52,12.6,Medium
FDI16,14.0,Medium
FDB44,6.655,Small
FDA25,16.5,Small
FDV33,9.6,Small
FDX47,6.55,Medium
FDO50,16.25,Medium
FDV57,15.25,High
FDB02,9.695,Small
FDD16,12.6,Small
FDX02,16.0,Small
FDP11,15.85,Medium
FDH32,12.6,Medium
NCL18,18.85,Medium
FDT12,6.215,Medium
FDD50,12.6,Medium
NCU05,11.8,Medium
FDI56,7.325,Medium
DRL11,10.5,Medium
FDQ08,15.7,Medium
FDW20,12.6,Medium
FDW46,13.0,Medium
FDO09,13.5,Medium
DRJ49,6.865,Medium
FDP26,7.785,High
FDO19,17.7,Small
NCG43,20.2,Medium
FDG02,7.855,Small
FDO32,6.36,Small
FDR34,17.0,Small
FDU59,5.78,Small
FDN31,11.5,Medium
FDT55,12.6,Medium
FDE08,18.2,Medium
FDK52,18.25,High
FDW11,12.6,High
FDC03,8.575,Medium
FDR43,18.2,Medium
FDL14,8.115,Medium
FDP39,12.65,Medium
FDG29,12.6,Medium
DRH15,8.775,Small
FDT11,5.94,Small
FDU48,18.85,Small
FDY12,9.8,High
FDS44,12.65,Medium
NCP06,20.7,Medium
DRH23,14.65,High
FDA16,12.6,Medium
FDT45,15.85,Medium
FDE56,17.25,Medium
FDA40,16.0,Medium
FDA39,6.32,Small
NCB19,6.525,Small
FDZ34,6.695,High
FDV22,14.85,Medium
FDO40,17.1,Medium
FDD21,10.3,High
FDO36,19.7,High
FDV34,10.695,Medium
NCY18,7.285,Medium
NCM54,17.7,Medium
FDB59,18.25,Medium
FDS45,5.175,Medium
FDV24,5.635,Medium
FDD46,6.035,Medium
FDQ39,14.8,Medium
FDD52,18.25,Small
FDL39,16.1,Medium
FDV02,16.75,Medium
FDE11,17.7,Small
NCU54,8.88,Medium
FDR43,18.2,Medium
FDD51,11.15,High
FDO60,20.0,Medium
NCS06,7.935,High
FDX50,20.1,Medium
FDQ55,13.65,Small
FDL52,6.635,Medium
FDK52,18.25,Medium
NCO02,11.15,Medium
NCO30,19.5,Small
FDA33,6.48,Medium
FDB12,11.15,High
FDT40,5.985,High
NCO05,7.27,Medium
FDR32,6.78,Medium
FDM04,9.195,Medium
DRL01,19.5,High
FDQ56,6.59,Medium
FDH08,7.51,Small
NCQ06,12.6,Small
FDG16,12.6,Small
FDZ40,12.6,Medium
FDY51,12.5,Small
NCN41,17.0,Medium
NCM17,12.6,Medium
FDP39,12.65,Medium
FDZ08,12.5,Small
FDU03,18.7,Medium
FDZ49,11.0,Small
NCX30,12.6,Small
FDV08,7.35,Medium
FDB15,10.895,High
FDY49,17.2,High
FDF24,15.5,Medium
DRK47,7.905,Medium
DRD37,9.8,Medium
FDH40,11.6,Medium
FDL12,12.6,Medium
FDW11,12.6,Medium
NCE06,5.825,Small
FDF32,16.35,Medium
DRI47,14.7,Small
DRA12,11.6,Small
FDX45,16.75,High
FDR35,12.5,High
FDK03,12.6,Medium
NCJ18,12.35,High
FDN48,13.35,Medium
FDZ59,12.6,Small
FDB57,12.6,Medium
DRP35,12.6,Small
FDZ59,6.63,High
FDU58,6.61,Medium
FDL09,19.6,Small
FDY38,13.6,Medium
FDI46,12.6,Medium
FDL03,19.25,Medium
DRC25,12.6,Small
FDU60,20.0,Medium
FDP25,12.6,Medium
FDO57,20.75,Medium
FDQ09,7.235,Medium
NCY05,12.6,Medium
FDA20,6.78,Medium
FDF16,7.3,Medium
NCG07,12.3,High
FDR46,16.85,Medium
FDP22,14.65,Medium
FDL45,15.6,Small
NCF42,17.35,Medium
FDD04,16.0,Medium
FDC45,17.0,Medium
FDI40,11.5,Medium
FDQ11,5.695,Small
DRM48,15.2,Small
FDS12,9.1,High
FDR46,16.85,Medium
NCO02,11.15,Medium
FDQ52,17.0,High
FDY28,7.47,Medium
FDE32,20.7,Small
FDJ58,15.6,Small
FDJ27,17.7,Medium
NCM18,13.0,Medium
FDA02,14.0,Medium
FDT26,18.85,Small
DRD60,15.7,Small
NCR18,15.85,Small
FDO27,6.175,Small
FDP25,12.6,Small
FDQ51,16.0,Small
NCH07,13.15,Medium
FDP44,16.5,Medium
NCP55,14.65,Medium
FDO09,13.5,High
FDP38,10.1,Medium
FDI48,11.85,Medium
FDS58,9.285,Medium
FDJ55,12.8,Small
NCF06,6.235,Medium
FDF41,12.15,Medium
NCL05,12.6,Small
FDT24,12.35,Medium
FDK08,9.195,Medium
FDU55,16.2,Medium
NCY18,7.285,Medium
FDS11,7.05,Small
FDC28,12.6,Small
FDR59,14.5,Small
DRE15,13.35,Medium
FDP19,11.5,Medium
DRN47,12.1,Medium
FDJ34,11.8,Medium
FDX21,7.05,Medium
FDI57,12.6,Medium
NCI42,18.75,Small
FDL03,19.25,Medium
FDX37,16.2,High
FDW57,8.31,Medium
FDX14,13.1,Medium
FDD09,13.5,Small
FDM09,11.15,Small
NCW54,7.5,Medium
DRL11,12.6,Medium
FDJ58,15.6,Medium
FDX21,12.6,Small
FDA20,6.78,Medium
FDL34,16.0,Small
FDL38,12.6,Medium
DRL11,10.5,Medium
FDO40,17.1,Medium
DRZ24,7.535,Medium
FDM52,15.1,Small
FDM52,15.1,Medium
FDV49,10.0,Medium
FDF47,20.85,Medium
FDF56,16.7,Small
FDW12,8.315,Medium
FDY09,12.6,Small
FDY55,16.75,Small
FDU36,12.6,Small
NCR06,12.5,Medium
FDW24,6.8,Small
FDF16,7.3,High
NCR18,15.85,Medium
DRD01,12.1,Small
FDS15,9.195,Medium
FDT19,7.59,High
FDE59,12.15,High
FDE04,19.75,Medium
NCV17,18.85,Small
FDC17,12.15,High
FDI45,13.1,Small
FDZ33,12.6,Medium
FDJ56,12.6,Small
FDN25,7.895,High
FDC10,12.6,Small
FDQ22,16.75,Medium
NCR54,16.35,Small
DRK11,8.21,Small
DRI37,15.85,Medium
FDX37,16.2,Medium
FDF05,17.5,Small
FDW36,12.6,Small
FDI04,13.65,Small
FDB04,11.35,Medium
FDU38,10.8,Small
FDY28,7.47,High
FDP20,19.85,Small
FDC29,8.39,Medium
FDR45,10.8,Medium
NCC42,15.0,Small
NCF42,17.35,Medium
FDZ45,14.1,Medium
FDB23,19.2,Medium
FDC41,15.6,Medium
FDA10,12.6,Small
NCM26,20.5,Medium
FDZ58,12.6,Small
FDW35,10.6,Small
FDX32,15.1,Small
FDK40,7.035,Medium
FDD04,16.0,Medium
FDP28,13.65,Small
NCL42,18.85,High
DRB13,6.115,Small
FDC33,8.96,Medium
FDO58,19.6,Small
FDE34,9.195,Medium
NCE19,8.97,Small
NCJ18,12.35,Medium
FDF52,9.3,Medium
FDY04,17.7,Small
DRF49,7.27,Medium
FDX27,20.7,Medium
FDV28,16.1,High
FDE33,12.6,Small
FDQ37,20.75,High
NCG30,20.2,Small
NCH29,5.51,Medium
FDV20,20.2,Medium
FDG57,14.7,Medium
FDU60,20.0,Small
NCH30,17.1,Medium
NCM29,11.5,Medium
FDB12,11.15,Medium
FDD53,16.2,Medium
FDI44,16.1,Medium
FDW56,12.6,Medium
FDA01,15.0,Medium
FDG47,12.8,High
FDT40,5.985,Small
FDU20,19.35,Small
NCP41,16.6,Medium
FDW36,12.6,Medium
FDN31,11.5,Medium
NCU54,8.88,Medium
FDS01,11.6,Small
FDA23,9.8,Medium
FDY08,9.395,Medium
FDJ28,12.3,Small
DRF36,16.1,Small
FDH44,19.1,Medium
NCY54,8.43,Medium
FDR59,14.5,Medium
DRA59,8.27,Small
FDS55,7.02,Medium
FDZ28,20.0,Medium
DRG49,7.81,Medium
FDH21,12.6,Small
NCN19,13.1,High
FDP25,15.2,Medium
DRH59,10.8,Small
FDH09,12.6,Small
NCK54,12.15,Medium
FDT21,7.42,Medium
FDR12,12.6,Small
FDS25,6.885,Medium
NCL05,12.6,Medium
NCI30,20.25,Medium
FDJ26,15.3,Medium
FDA56,9.21,Medium
FDM33,15.6,Medium
FDP04,15.35,Medium
FDR55,12.15,Medium
NCZ54,12.6,Medium
NCA53,11.395,Medium
FDL20,17.1,Small
FDT26,18.85,Small
NCZ06,19.6,Small
FDA04,11.3,Medium
FDD29,12.6,Medium
FDS56,5.785,Small
FDT07,5.82,High
FDT58,9.0,Medium
FDJ10,12.6,Medium
FDN25,7.895,Small
DRC27,13.8,Medium
FDA38,5.44,Medium
FDM56,16.7,High
NCI43,19.85,High
FDP36,10.395,Medium
DRK49,12.6,Small
FDW32,12.6,Small
NCW18,15.1,Medium
FDQ44,20.5,Medium
FDL45,15.6,Medium
DRB48,16.75,Small
FDQ34,10.85,Medium
FDH17,16.2,Medium
FDN08,7.72,Medium
FDK57,12.6,Medium
FDK10,5.785,High
FDL39,12.6,Medium
FDP25,15.2,Small
FDC05,13.1,Small
FDA39,6.32,High
FDZ10,17.85,High
FDK08,12.6,Medium
DRD24,13.85,High
DRG48,5.78,Medium
FDH52,12.6,Small
FDS25,6.885,Medium
NCH43,8.42,Small
DRK01,7.63,Medium
FDD59,10.5,Medium
FDB27,7.575,Medium
FDO22,13.5,High
FDD35,12.15,Medium
FDR01,5.405,Small
NCB31,12.6,Small
FDC35,7.435,Small
FDS23,4.635,Medium
FDC33,8.96,Medium
NCF18,18.35,Medium
FDM36,11.65,Medium
FDJ53,10.5,Medium
NCL17,7.39,Medium
FDW27,12.6,Medium
FDA32,14.0,Small
FDA03,18.5,Medium
FDW09,13.65,Medium
FDN09,14.15,Medium
FDM08,10.1,Medium
FDX01,10.1,Medium
DRO35,13.85,Medium
FDS31,13.1,Medium
NCM53,18.75,Medium
FDI16,14.0,High
DRF36,16.1,Medium
FDW49,12.6,Medium
FDB58,12.6,Small
NCJ18,12.35,Medium
FDL51,20.7,Medium
FDS03,7.825,Medium
NCO54,12.6,Small
FDA48,12.1,Medium
NCK06,12.6,Medium
NCZ54,14.65,Medium
FDW39,12.6,Medium
FDI09,20.75,Small
NCO02,11.15,Medium
DRF13,12.1,Medium
FDK25,11.6,Medium
FDZ38,17.6,Medium
NCQ42,12.6,Small
FDM14,12.6,Medium
FDC20,10.65,Small
FDW32,18.35,Medium
FDQ19,7.35,Medium
FDE08,18.2,Medium
FDC29,8.39,Medium
FDV50,14.3,High
FDF11,10.195,Medium
FDN09,14.15,Medium
DRG37,16.2,Medium
NCV06,12.6,Medium
DRJ13,12.65,Medium
DRF25,12.6,Medium
FDE53,10.895,Medium
FDS08,5.735,Small
FDO23,17.85,Medium
FDT07,5.82,Small
NCX29,10.0,Small
FDG22,17.6,Small
DRJ47,12.6,Medium
FDL43,10.1,High
FDZ43,12.6,Medium
FDZ21,17.6,Small
FDJ50,8.645,Small
FDV35,19.5,Small
FDW56,7.68,Medium
DRL35,15.7,Medium
FDR01,5.405,Medium
FDS24,20.85,Medium
NCL17,7.39,Medium
FDS13,6.465,Medium
FDB59,18.25,Medium
FDW26,12.6,Medium
FDQ12,12.6,Small
FDX59,10.195,High
FDL36,15.1,Medium
FDQ55,13.65,Medium
FDV46,12.6,Small
FDM28,12.6,Small
FDT40,5.985,Medium
DRJ11,9.5,Medium
FDD51,11.15,Medium
NCT17,12.6,Medium
NCW17,18.0,Small
NCY29,12.6,Small
DRH36,16.2,High
FDB17,13.15,Medium
NCA17,20.6,High
FDT27,11.395,Small
FDR32,6.78,High
FDG41,8.84,Medium
FDX25,16.7,Small
FDG56,13.3,Medium
FDN16,12.6,Medium
FDD47,7.6,Small
FDR12,12.6,High
FDS33,6.67,Medium
NCC55,10.695,Small
FDA38,12.6,Small
FDK44,16.6,Small
FDZ57,10.0,Small
NCN14,19.1,Medium
NCB06,17.6,Medium
DRL01,19.5,Medium
FDU10,10.1,Medium
NCS38,8.6,Medium
FDQ16,19.7,High
FDS40,15.35,Medium
FDE36,5.26,Medium
FDV31,9.8,Medium
NCD42,16.5,Medium
FDT20,10.5,Small
NCN19,13.1,Medium
FDW21,12.6,Medium
FDF34,9.3,Medium
FDI28,14.3,Medium
FDG44,12.6,Medium
DRF60,10.8,Medium
FDQ36,12.6,Small
FDP34,12.85,Medium
FDA20,6.78,Small
FDE41,9.195,Small
DRK47,7.905,Small
FDY10,17.6,Medium
FDI02,15.7,Medium
FDE41,12.6,Small
FDZ52,19.2,High
FDG50,7.405,Medium
DRL01,19.5,Medium
FDV48,9.195,Medium
FDR48,11.65,Medium
NCD54,21.1,High
NCT54,8.695,Medium
FDH02,7.27,High
NCD43,8.85,High
FDE46,18.6,Small
NCO42,12.6,Medium
FDR40,9.1,Medium
FDG24,7.975,Medium
NCO17,10.0,Medium
FDF22,6.865,Small
FDC59,16.7,Small
NCY18,7.285,Medium
DRE48,8.43,Medium
FDV60,20.2,Medium
FDB56,8.75,Medium
FDL20,12.6,Medium
NCZ53,12.6,Medium
DRM35,9.695,Small
FDV16,7.75,Small
FDY19,19.75,High
FDY12,9.8,Medium
FDM15,11.8,Medium
FDP12,9.8,Medium
FDT21,7.42,High
DRE49,20.75,Medium
FDN16,12.6,Medium
FDE04,19.75,Medium
FDC51,10.895,High
FDO04,16.6,Medium
FDD41,6.765,Medium
FDI45,13.1,Medium
NCB18,12.6,Medium
FDW51,6.155,Medium
NCK07,10.65,Small
FDZ45,12.6,Small
FDB37,20.25,Small
FDZ60,20.5,Small
FDN04,11.8,High
FDW47,15.0,High
FDB17,13.15,High
FDR56,15.5,Medium
FDU55,12.6,Medium
FDH40,11.6,Medium
FDH05,14.35,Medium
FDX58,13.15,Medium
FDC51,10.895,Small
NCR05,10.1,Medium
DRH25,18.7,Medium
NCR53,12.15,Medium
FDS04,10.195,Small
FDC03,8.575,High
FDP44,16.5,Medium
FDK16,9.065,Medium
NCC30,16.6,Small
FDZ26,11.6,Medium
NCO54,19.5,Medium
NCP41,16.6,Medium
DRE27,11.85,Medium
FDQ10,12.85,High
NCU42,9.0,Medium
FDX43,5.655,Small
NCD19,8.93,Small
NCI54,15.2,Small
FDS37,7.655,Medium
FDO25,12.6,Medium
FDS57,15.5,Medium
FDI52,18.7,Medium
DRK12,9.5,Medium
FDG40,13.65,Medium
FDU49,19.5,Medium
FDR49,8.71,High
FDF40,12.6,Small
DRE03,19.6,Medium
FDR55,12.6,Medium
NCU05,11.8,Small
FDR36,6.715,Medium
NCM30,19.1,High
FDH24,20.7,Medium
DRO47,10.195,Medium
FDQ49,20.2,Medium
DRJ37,10.8,Small
NCJ42,19.75,Medium
FDD05,19.35,Medium
FDC39,7.405,Medium
NCY06,15.25,Medium
NCS06,12.6,Small
FDE16,8.895,Medium
NCQ50,18.75,Small
FDX50,20.1,Small
NCL41,12.35,Medium
FDM58,16.85,Medium
FDH35,18.25,Medium
FDS50,17.0,Medium
FDT09,12.6,Medium
FDR60,14.3,Medium
FDG22,17.6,Small
FDL52,12.6,Medium
DRJ39,20.25,Medium
FDW45,18.0,Medium
NCQ38,16.35,Medium
FDB26,14.0,Medium
DRG48,5.78,Small
FDH10,21.0,Medium
FDP28,13.65,Medium
FDJ44,12.3,Medium
FDI07,12.35,Medium
DRJ24,11.8,Medium
DRL47,19.7,Small
FDP38,10.1,High
FDK02,12.6,Small
FDO23,17.85,High
NCE54,20.7,High
FDS52,8.89,Small
FDW01,14.5,Small
NCF07,9.0,Medium
DRE15,13.35,Medium
FDR58,6.675,Small
FDL24,10.3,High
FDQ25,12.6,Medium
FDX56,17.1,High
FDD20,14.15,Medium
DRF60,10.8,Medium
FDW13,8.5,Medium
FDF09,6.215,High
FDY45,17.5,Small
FDR26,20.7,Medium
FDZ01,8.975,Small
FDH53,20.5,Medium
FDG52,13.65,Medium
FDW50,13.1,Medium
FDX49,4.615,Small
FDJ44,12.3,Small
NCI31,12.6,Medium
FDZ52,19.2,Small
FDE17,20.1,Medium
FDG34,11.5,Medium
FDE26,9.3,Medium
FDD56,15.2,Medium
FDR52,12.65,Medium
FDQ13,11.1,Small
NCJ42,12.6,Small
FDH10,12.6,Small
NCG42,19.2,Small
FDT31,19.75,Medium
DRD25,6.135,Medium
FDR35,12.5,Small
FDL33,7.235,Medium
